Agency,Pillar,Weight,Activities,ActivitiesAgency,ActivitiesUNDP
UNICEF,P1,2,Joint school recovery,Curriculum & teacher training; Child-friendly spaces,"School infrastructure (primary, secondary, TVET); Education support"
UNICEF,P2,1,Joint school recovery,Curriculum & teacher training; Child-friendly spaces,Communal safe spaces
UNICEF,P3,2,WASH rehab with solar/efficiency,Drinking water; Sanitation kits,Water infra upgrades; Solar pumping
UNICEF,P2,5,Access to justice,Legal awareness; CDR facilitation; Protection & child justice,Legal services; Justice infra; Digital platforms; Women’s access; Community mediation
UNICEF,P1,4,Social protection & poverty reduction,Child poverty; Disability inclusion; Child expenditure mgmt,SP systems; Poverty reduction; Disability inclusion; PFM on child expenditure
UNICEF,P1,4,Youth & skills development,MSME/start-up support; Entrepreneurship; Vocational training; GenU initiatives,MSME/entrepreneurship; Youth engagement; Digital/peacebuilding; Public finance mgmt; GenU
UNICEF,P2,2,Youth & child protection,Child protection; Returnee reintegration,Online exploitation prevention; Returnee support & reintegration
UNICEF,P1,7,Poverty & social inclusion,Poverty measurement; SP referral pathways; Disability inclusion; Youth empowerment; Cash transfers; CivicTech4Youth; Digital Peace Ambassadors,Poverty systems & policy; SP governance; Disability strategy & DIWG; MSME/start-up pipeline; Cash–LH coordination; Youth digital innovation; Peace nexus support
UNICEF,P2,7,Governance & justice,Legal awareness; CDR; Juvenile justice; Protection advocacy; PFM evidence; Child indicators in M&E; Child online safety,Court rehab; Mobile legal units; Digital legal aid; Justice provider capacity; Legal advocacy/system design; PFM co-lead; M&E rollout; Child protection platforms; Mine/UXO advocacy
UNICEF,P3,5,"WASH, energy & climate resilience",Water/sewage assessments; WASH staff e-learning; Climate risk mapping; Water supply rehab; Resilience planning,"Basin assessments; Water sector strategy; Institutional capacity; Early warning & adaptation fund; Energy for WASH (Tabqa, Babiri, solar)"
WFP,P1,4,Food-for-Assets Projects,Food Distribution; Livelihoods Support; Employment; Value Chain,Assets Creation; Livelihoods Economic Support; Job Creation; Value Chain Assessments
WFP,P1,2,Infrastructure Rehabilitation,Bakeries Rehabilitation;,Market Rehabilitation; Bakeries Rehabilitation; Value Chain Re-vitalization
WFP,P2,2,Social Protection,Social Safety nets; poverty reduction,Poverty Reduction; Social Safety nets; VSLA
WHO,P3,4,Medical Equipment,Health Facility service recovery,Health Facility rehabilitation; solar energy assets; medical-waste management systems; medica equipment provision
WHO,P2,1,Capacity Building for health workers,Healthcare Systems enhancement; capacity building,Health Systems strenghtening
UNHCR,P1,5,Returnees & Refugees Economic Support,"Returnees & Refugees livelihood support, TVET initiatives",MSME/entrepreneurship support; youth engagement; job creation; TVET grants; TVET centers support
